Title,Image,Info_URL,Name,ugrey_3text__divcontains_class_uv2spacerxstop,ugrey_3text__divcontains_class_uv2spacerxstop1,ubold_URL,ubold,utcapitalize,udinlineblock_URL,Score,uv2spacersmtop__divcontains_class_uv2spacerxstop,uv2spacersmtop__divcontains_class_uv2spacerxstop2,uv2spacermdtop_URL,ubold3,ubold4,cbtnlightmedium
Dietitian/Nutritionist,https://imagesx.practo.com/providers/2b813160-da4a-4f0f-ac29-b2ec7e4e39a5.jpg?i_type=t_100x100,https://www.practo.com/Mumbai/therapist/geeta-shenoy-dietitian-nutritionist-1?specialization=dietitian/nutritionist,Ms. Geeta Shenoy,30 years experience overall,years experience overall,https://www.practo.com/mumbai/dietitian-nutritionist/chembur-east,"Chembur East,",Mumbai,https://www.practo.com/Mumbai/clinic/nutrition-wellness-clinic-chembur-east?specialization=dietitian/nutritionist,Nutrition & Wellness Clinic,₹1500,Consultation fee at clinic,https://www.practo.com/Mumbai/therapist/geeta-shenoy-dietitian-nutritionist-1/recommended?specialization=dietitian/nutritionist,Patient Stories,98% ,
Ayurveda,,https://www.practo.com/Mumbai/doctor/dr-anita-gupta-specialistayurveda?specialization=ayurveda,Dr. Anita Gupta,24 years experience overall,years experience overall,https://www.practo.com/mumbai/ayurveda/mulund-west,"Mulund West,",Mumbai,https://www.practo.com/Mumbai/clinic/aharayogam-mulund-west?specialization=ayurveda,Aharayogam,₹2000,Consultation fee at clinic,https://www.practo.com/Mumbai/doctor/dr-anita-gupta-specialistayurveda/recommended?specialization=ayurveda,Patient Stories,97% ,
Dietitian/Nutritionist,,https://www.practo.com/Mumbai/therapist/jennifer-dhuri-dietitian-nutritionist-1?specialization=dietitian/nutritionist,Ms. Jennifer Dhuri,21 years experience overall,years experience overall,https://www.practo.com/mumbai/dietitian-nutritionist/powai,"Powai,",Mumbai,https://www.practo.com/Mumbai/clinic/jennifer-s-health-and-diet-solutions-powai?specialization=dietitian/nutritionist,Jennifer's Health and Diet Solutions,₹2500,Consultation fee at clinic,https://www.practo.com/Mumbai/therapist/jennifer-dhuri-dietitian-nutritionist-1/recommended?specialization=dietitian/nutritionist,Patient Stories,98% ,
Dietitian/Nutritionist,,https://www.practo.com/Mumbai/therapist/ushma-haria-dietitian-nutritionist?specialization=dietitian/nutritionist,Ms. Ushma Haria,11 years experience overall,years experience overall,https://www.practo.com/mumbai/dietitian-nutritionist/chembur-east,"Chembur East,",Mumbai,https://www.practo.com/Mumbai/hospital/sushrut-hospital-and-research-center-chembur-east-1?specialization=dietitian/nutritionist,Sushrut Hospital and Research Center,₹500,Consultation fee at clinic,https://www.practo.com/Mumbai/therapist/ushma-haria-dietitian-nutritionist/recommended?specialization=dietitian/nutritionist,Patient Stories,6 Patient Stories,
Dietitian/Nutritionist,,https://www.practo.com/Mumbai/therapist/dr-zubeda-tumbi-dietitian-nutritionist-dietitian-nutritionist?specialization=dietitian/nutritionist,Dr. Zubeda Tumbi   (PhD),31 years experience overall,years experience overall,https://www.practo.com/mumbai/dietitian-nutritionist/andheri-west,"Andheri West,",Mumbai,https://www.practo.com/Mumbai/clinic/healthwatch-andheri-west?specialization=dietitian/nutritionist,Healthwatch Nutrition Clinic,₹1000,Consultation fee at clinic,https://www.practo.com/Mumbai/therapist/dr-zubeda-tumbi-dietitian-nutritionist-dietitian-nutritionist/recommended?specialization=dietitian/nutritionist,Patient Stories,96% ,
Dietitian/Nutritionist,,https://www.practo.com/Mumbai/therapist/mallika-kabra-rathi-dietitian-nutritionist?specialization=dietitian/nutritionist,Ms. Malika Kabra Rathi,12 years experience overall,years experience overall,https://www.practo.com/mumbai/dietitian-nutritionist/goregaon,"Goregaon,",Mumbai,https://www.practo.com/Mumbai/clinic/nutrition-clinic-goregaon?specialization=dietitian/nutritionist,Nutrition Clinic,₹2500,Consultation fee at clinic,https://www.practo.com/Mumbai/therapist/mallika-kabra-rathi-dietitian-nutritionist/recommended?specialization=dietitian/nutritionist,Patient Stories,98% ,
Dietitian/Nutritionist,,https://www.practo.com/Mumbai/therapist/ms-pushpa-ladsariya?specialization=dietitian/nutritionist,Ms. Pushpa Ladsariya,15 years experience overall,years experience overall,https://www.practo.com/mumbai/dietitian-nutritionist/worli,"Worli,",Mumbai,https://www.practo.com/Mumbai/clinic/dr-pushpa-ladhsariya-worli?specialization=dietitian/nutritionist,Taste Of Good Health,₹1500,Consultation fee at clinic,https://www.practo.com/Mumbai/therapist/ms-pushpa-ladsariya/recommended?specialization=dietitian/nutritionist,Patient Stories,99% ,
Dietitian/Nutritionist,,https://www.practo.com/Mumbai/therapist/gurpreet-kaur-chhabra-dietitian-nutritionist?specialization=dietitian/nutritionist,Ms. Gurpreet Kaur Chhabra,19 years experience overall,years experience overall,https://www.practo.com/mumbai/dietitian-nutritionist/kandivali-east,"Kandivali East,",Mumbai,https://www.practo.com/Mumbai/clinic/kukreja-clinic-kandivali-east-2?specialization=dietitian/nutritionist,Dietitian Clinic,₹1000,Consultation fee at clinic,https://www.practo.com/Mumbai/therapist/gurpreet-kaur-chhabra-dietitian-nutritionist/recommended?specialization=dietitian/nutritionist,Patient Stories,100% ,
Dietitian/Nutritionist,,https://www.practo.com/Mumbai/therapist/twinkle-haria-dietitian-nutritionist?specialization=dietitian/nutritionist,Ms. Twinkle Haria,10 years experience overall,years experience overall,https://www.practo.com/mumbai/dietitian-nutritionist/mulund-west,"Mulund West,",Mumbai,https://www.practo.com/Mumbai/clinic/beyond-diet-mulund-west?specialization=dietitian/nutritionist,Beyond Diet,₹1500,Consultation fee at clinic,https://www.practo.com/Mumbai/therapist/twinkle-haria-dietitian-nutritionist/recommended?specialization=dietitian/nutritionist,Patient Stories,100% ,
Dietitian/Nutritionist,,https://www.practo.com/Mumbai/therapist/ritu-agarwal-1-dietitian-nutritionist?specialization=dietitian/nutritionist,Ms. Ritu Agarwal,10 years experience overall,years experience overall,https://www.practo.com/mumbai/dietitian-nutritionist/andheri-west,"Andheri West,",Mumbai,https://www.practo.com/Mumbai/clinic/prettislim-health-clinic-andheri-west?specialization=dietitian/nutritionist,Prettislim Health Clinic,Free Consultation,,https://www.practo.com/Mumbai/therapist/ritu-agarwal-1-dietitian-nutritionist/recommended?specialization=dietitian/nutritionist,Patient Stories,100% ,
